tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Visual Arts,135,Brigham Young University,Bethanne P,,Andersen,1679970,5,good,TEACHER,PROFESSOR,4.7
Chemistry,135,Brigham Young University,Joshua,,Andersen,1804912,4,good,TEACHER,PROFESSOR,4.7
Mathematics,135,Brigham Young University,Nickolas,Robert,Andersen,2552622,17,good,TEACHER,PROFESSOR,4.7
Religion,135,Brigham Young University,Camey,Lei,Andersen,2714939,2,good,TEACHER,PROFESSOR,5.0
Social Science,135,Brigham Young University,Lili,,Anderson,58055,21,good,TEACHER,PROFESSOR,4.5
Music,135,Brigham Young University,Richard,,Anderson,159380,9,good,TEACHER,PROFESSOR,4.4
Religion,135,Brigham Young University,Shauna,,Anderson,193316,7,good,TEACHER,PROFESSOR,3.5
Information Science,135,Brigham Young University,Bonnie,,Anderson,528238,28,good,TEACHER,PROFESSOR,3.7
Education,135,Brigham Young University,Morgan,,Anderson,547231,6,good,TEACHER,PROFESSOR,4.2
Humanities,135,Brigham Young University,Kimberly,,Anderson,617689,15,average,TEACHER,PROFESSOR,2.9
Religion,135,Brigham Young University,Carli,,Anderson,873476,25,good,TEACHER,PROFESSOR,4.3
Physical Sciences,135,Brigham Young University,Wayne,,Anderson,940058,33,average,TEACHER,PROFESSOR,3.0
Nursing,135,Brigham Young University,Vickie,,Anderson,1092816,10,average,TEACHER,PROFESSOR,3.1
Education,135,Brigham Young University,Darlene,,Anderson,1383165,5,average,TEACHER,PROFESSOR,2.9
Electrical Engineering,135,Brigham Young University,Adam,,Anderson,1549155,1,poor,TEACHER,PROFESSOR,2.0
Visual Arts,135,Brigham Young University,Bethanne,,Anderson,1631261,4,good,TEACHER,PROFESSOR,4.9
Visual Arts,135,Brigham Young University,Paul,L.,Anderson,1870520,1,good,TEACHER,PROFESSOR,5.0
Accounting,135,Brigham Young University,Samuel,,Anderson,2097991,3,good,TEACHER,PROFESSOR,3.7
Spanish,135,Brigham Young University,Michelle,,Anderson,2243326,1,good,TEACHER,PROFESSOR,4.0
Family Life,135,Brigham Young University,Shayne,,Anderson,2244036,2,good,TEACHER,PROFESSOR,5.0
Teaching amp Learning,135,Brigham Young University,Haley,,Anderson,2419886,1,good,TEACHER,PROFESSOR,5.0
Computer Science,135,Brigham Young University,Zann,,Anderson,2387431,12,good,TEACHER,PROFESSOR,3.7
Languages,135,Brigham Young University,Neil,,Anderson,73784,5,good,TEACHER,PROFESSOR,4.5
Graduate Studies,135,Brigham Young University,Valerie,,Anderson,1519342,9,average,TEACHER,PROFESSOR,3.1
Humanities,135,Brigham Young University,Meagan,,Anderson,2708047,10,good,TEACHER,PROFESSOR,4.6
Theatre amp Media Arts,135,Brigham Young University,Haley,,Anderson,2419882,3,good,TEACHER,PROFESSOR,5.0
History,135,Brigham Young University,Stewart,,Anderson,1705195,54,good,TEACHER,PROFESSOR,4.3
Physical Sciences,135,Brigham Young University,Brian,,Anderson,1649292,53,good,TEACHER,PROFESSOR,4.8
Philosophy,135,Brigham Young University,Travis,,Anderson,513286,37,good,TEACHER,PROFESSOR,3.5
Information Systems,135,Brigham Young University,Gregory,,Anderson,1748129,48,good,TEACHER,PROFESSOR,4.6
Spanish & Portuguese,135,Brigham Young University,Patricia,,Andrade,2543154,2,good,TEACHER,PROFESSOR,4.0
