tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Chemistry,136,Brigham Young University - Hawaii,Daniel,,DeMartini,2406103,7,good,TEACHER,PROFESSOR,4.6
Mathematics,136,Brigham Young University - Hawaii,Owen,E,Denison,1949285,4,good,TEACHER,PROFESSOR,4.2
Theater,136,Brigham Young University - Hawaii,Aaron,,Densley,2287136,3,good,TEACHER,PROFESSOR,5.0
Theater,136,Brigham Young University - Hawaii,Kristl,,Densley,2290429,7,good,TEACHER,PROFESSOR,5.0
Social Science,136,Brigham Young University - Hawaii,Thomas,,Draper,728669,2,average,TEACHER,PROFESSOR,3.2
Religion,136,Brigham Young University - Hawaii,Richard,,Draper,1488805,3,good,TEACHER,PROFESSOR,4.7
Computer Science,136,Brigham Young University - Hawaii,Geoffrey,,Draper,2514529,1,poor,TEACHER,PROFESSOR,1.0
Computer Science,136,Brigham Young University - Hawaii,Geoff,,Draper,1611875,13,good,TEACHER,PROFESSOR,4.4
Music,136,Brigham Young University - Hawaii,Jennifer,,Duerden,2107014,3,good,TEACHER,PROFESSOR,4.7
Music,136,Brigham Young University - Hawaii,Darren,,Duerden,1903540,4,good,TEACHER,PROFESSOR,3.9
Business,136,Brigham Young University - Hawaii,Wesley,,Duke,2689852,1,good,TEACHER,PROFESSOR,5.0
Business,136,Brigham Young University - Hawaii,Jason Scott,,Earl,1832545,39,good,TEACHER,PROFESSOR,4.5
Psychology,136,Brigham Young University - Hawaii,Nancy,,Eastwood,2725346,2,good,TEACHER,PROFESSOR,4.0
Physical Education,136,Brigham Young University - Hawaii,Norman,,Eburne,1195236,4,good,TEACHER,PROFESSOR,4.9
Music,136,Brigham Young University - Hawaii,Daniel,,Edwards,2662635,1,good,TEACHER,PROFESSOR,4.0
Mathematics,136,Brigham Young University - Hawaii,Nathan,,Ellis,1775636,6,good,TEACHER,PROFESSOR,4.9
English,136,Brigham Young University - Hawaii,Juan,,Escalante,2628399,2,good,TEACHER,PROFESSOR,5.0
Religion,136,Brigham Young University - Hawaii,Brother,,Esplin,733453,1,good,TEACHER,PROFESSOR,5.0
Religion,136,Brigham Young University - Hawaii,Brent,,Esplin,2325843,2,good,TEACHER,PROFESSOR,5.0
History,136,Brigham Young University - Hawaii,Sister,,Fale,835349,3,poor,TEACHER,PROFESSOR,2.2
Ethnic Studies,136,Brigham Young University - Hawaii,Zoia,,Falevai,2187534,3,good,TEACHER,PROFESSOR,4.0
Physical Education,136,Brigham Young University - Hawaii,Janelle,,Farley,959436,5,average,TEACHER,PROFESSOR,3.2
International Studies,136,Brigham Young University - Hawaii,Kali,,Fermantez,1981897,19,good,TEACHER,PROFESSOR,4.0
Theater,136,Brigham Young University - Hawaii,Craig,,Ferre,1506354,5,good,TEACHER,PROFESSOR,4.3
Computer Science,136,Brigham Young University - Hawaii,Leslie,,Fife,970408,4,average,TEACHER,PROFESSOR,3.3
Religion,136,Brigham Young University - Hawaii,Lawrence R.,,Flake,729241,4,poor,TEACHER,PROFESSOR,2.1
Biology,136,Brigham Young University - Hawaii,Charity,,Fonoimoana,2224359,4,good,TEACHER,PROFESSOR,4.8
Intercultural Studies,136,Brigham Young University - Hawaii,Chad,,Ford,701729,48,good,TEACHER,PROFESSOR,4.5
Social Science,136,Brigham Young University - Hawaii,Amanda,,Ford,2552163,3,good,TEACHER,PROFESSOR,4.3
Health Science,136,Brigham Young University - Hawaii,Nina,,Foster,2196159,3,good,TEACHER,PROFESSOR,4.7
