tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Computer Information Technology,1754,Brigham Young University - Idaho,Jedadiah,,Ashford,1990322,2,average,TEACHER,PROFESSOR,3.0
General Studies,1754,Brigham Young University - Idaho,Stephanie,,Ashley,2262504,5,good,TEACHER,PROFESSOR,4.2
Art,1754,Brigham Young University - Idaho,Candice,,Ashment,2707664,1,good,TEACHER,PROFESSOR,4.0
Education,1754,Brigham Young University - Idaho,Rachel ,,Ashmore ,2049976,4,poor,TEACHER,PROFESSOR,2.4
Music,1754,Brigham Young University - Idaho,Ted,,Ashton,685577,6,good,TEACHER,PROFESSOR,4.8
Biology,1754,Brigham Young University - Idaho,Joshua,,Ashton,2412614,56,good,TEACHER,PROFESSOR,4.4
English,1754,Brigham Young University - Idaho,Jamshid,,Askar,1619411,3,good,TEACHER,PROFESSOR,5.0
Religion,1754,Brigham Young University - Idaho,Kirk,,Astel,1549129,118,good,TEACHER,PROFESSOR,3.6
Art,1754,Brigham Young University - Idaho,Brian,,Astle,2151835,13,good,TEACHER,PROFESSOR,4.8
Computer Science,1754,Brigham Young University - Idaho,Kyle,,Atkinson,2252758,1,poor,TEACHER,PROFESSOR,1.0
Art,1754,Brigham Young University - Idaho,Brian,,Atkinson,691923,31,good,TEACHER,PROFESSOR,3.8
Religion,1754,Brigham Young University - Idaho,Shawn,,Atwood,2155341,1,good,TEACHER,PROFESSOR,5.0
Nursing,1754,Brigham Young University - Idaho,Jason,,Atwood,776341,44,good,TEACHER,PROFESSOR,4.6
Humanities,1754,Brigham Young University - Idaho,Jonathan,,Austad,1994319,43,good,TEACHER,PROFESSOR,3.5
Accounting,1754,Brigham Young University - Idaho,Jamie,,Austad,2528071,13,good,TEACHER,PROFESSOR,4.5
Business,1754,Brigham Young University - Idaho,Landry,,Austin,2551224,2,average,TEACHER,PROFESSOR,3.0
Business,1754,Brigham Young University - Idaho,Christopher,,Ayers,2469999,1,good,TEACHER,PROFESSOR,4.0
Education,1754,Brigham Young University - Idaho,Melissa,,Babcock,1730479,5,poor,TEACHER,PROFESSOR,1.9
English,1754,Brigham Young University - Idaho,Matthew (Matt),,Babcock,604041,81,good,TEACHER,PROFESSOR,4.4
Computer Information Technology,1754,Brigham Young University - Idaho,Johan,,Baer,2384072,2,good,TEACHER,PROFESSOR,5.0
